t_s,value,unit,source
0.0,4.1,percent_util,cpu_util_proxy
0.5,56.1,percent_util,cpu_util_proxy
1.001,51.5,percent_util,cpu_util_proxy
1.501,54.5,percent_util,cpu_util_proxy
2.001,51.0,percent_util,cpu_util_proxy
2.502,55.0,percent_util,cpu_util_proxy
3.002,52.0,percent_util,cpu_util_proxy
3.503,58.2,percent_util,cpu_util_proxy
4.004,99.0,percent_util,cpu_util_proxy
4.504,100.0,percent_util,cpu_util_proxy
5.005,99.0,percent_util,cpu_util_proxy
5.505,99.0,percent_util,cpu_util_proxy
6.005,100.0,percent_util,cpu_util_proxy
6.506,100.0,percent_util,cpu_util_proxy
7.007,99.0,percent_util,cpu_util_proxy
7.508,99.0,percent_util,cpu_util_proxy
8.008,62.2,percent_util,cpu_util_proxy
8.508,51.0,percent_util,cpu_util_proxy
9.009,55.0,percent_util,cpu_util_proxy
9.509,50.0,percent_util,cpu_util_proxy
10.01,55.0,percent_util,cpu_util_proxy
10.51,50.0,percent_util,cpu_util_proxy
11.01,55.4,percent_util,cpu_util_proxy
11.511,51.5,percent_util,cpu_util_proxy
12.011,54.5,percent_util,cpu_util_proxy
12.512,53.5,percent_util,cpu_util_proxy
13.012,54.1,percent_util,cpu_util_proxy
13.512,53.0,percent_util,cpu_util_proxy
14.013,51.0,percent_util,cpu_util_proxy
14.513,55.1,percent_util,cpu_util_proxy
15.013,52.5,percent_util,cpu_util_proxy
15.514,55.6,percent_util,cpu_util_proxy
16.015,51.5,percent_util,cpu_util_proxy
16.515,54.5,percent_util,cpu_util_proxy
17.015,51.0,percent_util,cpu_util_proxy
17.516,55.1,percent_util,cpu_util_proxy
18.018,92.0,percent_util,cpu_util_proxy
18.519,99.0,percent_util,cpu_util_proxy
19.019,100.0,percent_util,cpu_util_proxy
19.519,99.0,percent_util,cpu_util_proxy
20.02,100.0,percent_util,cpu_util_proxy
20.52,100.0,percent_util,cpu_util_proxy
21.02,99.0,percent_util,cpu_util_proxy
21.522,99.0,percent_util,cpu_util_proxy
22.023,71.7,percent_util,cpu_util_proxy
22.523,54.5,percent_util,cpu_util_proxy
23.023,54.5,percent_util,cpu_util_proxy
23.524,51.5,percent_util,cpu_util_proxy
24.024,55.6,percent_util,cpu_util_proxy
24.525,57.0,percent_util,cpu_util_proxy
25.026,54.0,percent_util,cpu_util_proxy
25.526,51.0,percent_util,cpu_util_proxy
26.027,55.6,percent_util,cpu_util_proxy
26.527,50.5,percent_util,cpu_util_proxy
27.028,100.0,percent_util,cpu_util_proxy
27.528,50.5,percent_util,cpu_util_proxy
28.028,100.0,percent_util,cpu_util_proxy
28.529,51.0,percent_util,cpu_util_proxy
29.029,0.0,percent_util,cpu_util_proxy
29.529,51.0,percent_util,cpu_util_proxy
30.03,100.0,percent_util,cpu_util_proxy
30.53,50.0,percent_util,cpu_util_proxy
31.031,100.0,percent_util,cpu_util_proxy
31.532,52.0,percent_util,cpu_util_proxy
32.032,79.0,percent_util,cpu_util_proxy
32.534,99.0,percent_util,cpu_util_proxy
33.035,0.0,percent_util,cpu_util_proxy
33.536,98.0,percent_util,cpu_util_proxy
34.037,100.0,percent_util,cpu_util_proxy
34.538,99.0,percent_util,cpu_util_proxy
35.04,100.0,percent_util,cpu_util_proxy
35.541,99.0,percent_util,cpu_util_proxy
36.041,50.0,percent_util,cpu_util_proxy
36.541,54.5,percent_util,cpu_util_proxy
37.042,50.0,percent_util,cpu_util_proxy
37.542,58.0,percent_util,cpu_util_proxy
38.042,0.0,percent_util,cpu_util_proxy
38.543,56.6,percent_util,cpu_util_proxy
39.043,100.0,percent_util,cpu_util_proxy
39.543,55.0,percent_util,cpu_util_proxy
40.044,100.0,percent_util,cpu_util_proxy
40.544,54.5,percent_util,cpu_util_proxy
41.044,50.0,percent_util,cpu_util_proxy
41.545,55.0,percent_util,cpu_util_proxy
42.045,0.0,percent_util,cpu_util_proxy
42.546,57.4,percent_util,cpu_util_proxy
43.047,50.0,percent_util,cpu_util_proxy
43.547,51.0,percent_util,cpu_util_proxy
44.047,50.0,percent_util,cpu_util_proxy
44.548,51.5,percent_util,cpu_util_proxy
45.048,66.7,percent_util,cpu_util_proxy
45.548,52.0,percent_util,cpu_util_proxy
46.049,100.0,percent_util,cpu_util_proxy
46.551,99.0,percent_util,cpu_util_proxy
47.052,100.0,percent_util,cpu_util_proxy
47.552,99.0,percent_util,cpu_util_proxy
48.054,100.0,percent_util,cpu_util_proxy
48.555,99.0,percent_util,cpu_util_proxy
