t_s,value,unit,source
0.0,57.1,percent_util,cpu_util_proxy
0.5,100.0,percent_util,cpu_util_proxy
1.001,99.0,percent_util,cpu_util_proxy
1.502,99.0,percent_util,cpu_util_proxy
2.003,90.9,percent_util,cpu_util_proxy
2.503,52.0,percent_util,cpu_util_proxy
3.004,54.0,percent_util,cpu_util_proxy
3.504,52.0,percent_util,cpu_util_proxy
4.004,55.6,percent_util,cpu_util_proxy
4.505,51.5,percent_util,cpu_util_proxy
5.005,55.1,percent_util,cpu_util_proxy
5.506,56.1,percent_util,cpu_util_proxy
6.006,55.0,percent_util,cpu_util_proxy
6.506,50.5,percent_util,cpu_util_proxy
7.007,0.0,percent_util,cpu_util_proxy
7.507,51.0,percent_util,cpu_util_proxy
8.008,0.0,percent_util,cpu_util_proxy
8.508,51.0,percent_util,cpu_util_proxy
9.01,0.0,percent_util,cpu_util_proxy
9.51,51.5,percent_util,cpu_util_proxy
10.01,0.0,percent_util,cpu_util_proxy
10.511,54.5,percent_util,cpu_util_proxy
11.011,0.0,percent_util,cpu_util_proxy
11.511,53.5,percent_util,cpu_util_proxy
12.012,100.0,percent_util,cpu_util_proxy
12.512,99.0,percent_util,cpu_util_proxy
13.013,0.0,percent_util,cpu_util_proxy
13.513,100.0,percent_util,cpu_util_proxy
14.014,99.0,percent_util,cpu_util_proxy
14.514,100.0,percent_util,cpu_util_proxy
15.016,99.0,percent_util,cpu_util_proxy
15.516,100.0,percent_util,cpu_util_proxy
16.016,99.0,percent_util,cpu_util_proxy
16.517,87.1,percent_util,cpu_util_proxy
17.017,50.5,percent_util,cpu_util_proxy
17.517,54.0,percent_util,cpu_util_proxy
18.018,51.5,percent_util,cpu_util_proxy
18.518,54.0,percent_util,cpu_util_proxy
19.019,51.0,percent_util,cpu_util_proxy
19.52,50.5,percent_util,cpu_util_proxy
20.02,0.0,percent_util,cpu_util_proxy
20.52,51.5,percent_util,cpu_util_proxy
21.021,0.0,percent_util,cpu_util_proxy
21.521,51.5,percent_util,cpu_util_proxy
22.021,0.0,percent_util,cpu_util_proxy
22.522,50.5,percent_util,cpu_util_proxy
23.022,0.0,percent_util,cpu_util_proxy
23.522,54.5,percent_util,cpu_util_proxy
24.023,0.0,percent_util,cpu_util_proxy
24.523,51.0,percent_util,cpu_util_proxy
25.023,0.0,percent_util,cpu_util_proxy
25.523,51.0,percent_util,cpu_util_proxy
26.024,0.0,percent_util,cpu_util_proxy
26.526,66.3,percent_util,cpu_util_proxy
27.026,0.0,percent_util,cpu_util_proxy
27.527,100.0,percent_util,cpu_util_proxy
28.03,99.0,percent_util,cpu_util_proxy
28.531,99.0,percent_util,cpu_util_proxy
29.031,0.0,percent_util,cpu_util_proxy
29.532,100.0,percent_util,cpu_util_proxy
30.032,0.0,percent_util,cpu_util_proxy
30.533,99.0,percent_util,cpu_util_proxy
31.033,0.0,percent_util,cpu_util_proxy
31.533,54.5,percent_util,cpu_util_proxy
32.034,50.5,percent_util,cpu_util_proxy
32.535,57.6,percent_util,cpu_util_proxy
33.035,0.0,percent_util,cpu_util_proxy
33.536,56.4,percent_util,cpu_util_proxy
34.036,0.0,percent_util,cpu_util_proxy
34.536,53.5,percent_util,cpu_util_proxy
35.036,0.0,percent_util,cpu_util_proxy
35.537,59.0,percent_util,cpu_util_proxy
36.037,0.0,percent_util,cpu_util_proxy
36.537,55.4,percent_util,cpu_util_proxy
37.038,0.0,percent_util,cpu_util_proxy
37.538,55.4,percent_util,cpu_util_proxy
38.038,0.0,percent_util,cpu_util_proxy
38.539,54.0,percent_util,cpu_util_proxy
39.039,0.0,percent_util,cpu_util_proxy
39.539,54.0,percent_util,cpu_util_proxy
40.04,0.0,percent_util,cpu_util_proxy
40.54,55.0,percent_util,cpu_util_proxy
41.04,74.7,percent_util,cpu_util_proxy
41.541,100.0,percent_util,cpu_util_proxy
42.041,0.0,percent_util,cpu_util_proxy
42.542,99.0,percent_util,cpu_util_proxy
43.042,0.0,percent_util,cpu_util_proxy
43.543,100.0,percent_util,cpu_util_proxy
44.044,100.0,percent_util,cpu_util_proxy
44.544,99.0,percent_util,cpu_util_proxy
45.046,99.0,percent_util,cpu_util_proxy
45.546,71.0,percent_util,cpu_util_proxy
46.046,0.0,percent_util,cpu_util_proxy
46.547,51.5,percent_util,cpu_util_proxy
47.047,100.0,percent_util,cpu_util_proxy
47.547,50.5,percent_util,cpu_util_proxy
48.048,0.0,percent_util,cpu_util_proxy
