t_s,value,unit,source
0.0,2.8,percent_util,cpu_util_proxy
0.501,55.6,percent_util,cpu_util_proxy
1.001,52.0,percent_util,cpu_util_proxy
1.502,77.0,percent_util,cpu_util_proxy
2.003,100.0,percent_util,cpu_util_proxy
2.505,99.0,percent_util,cpu_util_proxy
3.005,99.0,percent_util,cpu_util_proxy
3.505,100.0,percent_util,cpu_util_proxy
4.006,100.0,percent_util,cpu_util_proxy
4.506,99.0,percent_util,cpu_util_proxy
5.009,0.0,percent_util,cpu_util_proxy
5.509,87.9,percent_util,cpu_util_proxy
6.01,0.0,percent_util,cpu_util_proxy
6.51,51.0,percent_util,cpu_util_proxy
7.01,100.0,percent_util,cpu_util_proxy
7.511,51.0,percent_util,cpu_util_proxy
8.011,0.0,percent_util,cpu_util_proxy
8.511,51.0,percent_util,cpu_util_proxy
9.012,50.0,percent_util,cpu_util_proxy
9.512,51.0,percent_util,cpu_util_proxy
10.012,100.0,percent_util,cpu_util_proxy
10.513,50.5,percent_util,cpu_util_proxy
11.013,100.0,percent_util,cpu_util_proxy
11.513,51.0,percent_util,cpu_util_proxy
12.014,0.0,percent_util,cpu_util_proxy
12.514,51.0,percent_util,cpu_util_proxy
13.015,0.0,percent_util,cpu_util_proxy
13.515,51.5,percent_util,cpu_util_proxy
14.016,0.0,percent_util,cpu_util_proxy
14.516,51.5,percent_util,cpu_util_proxy
15.016,0.0,percent_util,cpu_util_proxy
15.517,64.0,percent_util,cpu_util_proxy
16.018,50.0,percent_util,cpu_util_proxy
16.519,100.0,percent_util,cpu_util_proxy
17.021,100.0,percent_util,cpu_util_proxy
17.522,99.0,percent_util,cpu_util_proxy
18.022,100.0,percent_util,cpu_util_proxy
18.523,100.0,percent_util,cpu_util_proxy
19.023,0.0,percent_util,cpu_util_proxy
19.523,99.0,percent_util,cpu_util_proxy
20.024,0.0,percent_util,cpu_util_proxy
20.524,54.5,percent_util,cpu_util_proxy
21.024,0.0,percent_util,cpu_util_proxy
21.525,55.0,percent_util,cpu_util_proxy
22.025,0.0,percent_util,cpu_util_proxy
22.525,60.6,percent_util,cpu_util_proxy
23.026,50.0,percent_util,cpu_util_proxy
23.526,54.0,percent_util,cpu_util_proxy
24.026,0.0,percent_util,cpu_util_proxy
24.528,52.5,percent_util,cpu_util_proxy
25.029,0.0,percent_util,cpu_util_proxy
25.529,50.0,percent_util,cpu_util_proxy
26.03,50.0,percent_util,cpu_util_proxy
26.53,50.5,percent_util,cpu_util_proxy
27.03,50.0,percent_util,cpu_util_proxy
27.531,51.0,percent_util,cpu_util_proxy
28.031,50.0,percent_util,cpu_util_proxy
28.531,53.5,percent_util,cpu_util_proxy
29.032,50.0,percent_util,cpu_util_proxy
29.533,52.0,percent_util,cpu_util_proxy
30.034,100.0,percent_util,cpu_util_proxy
30.536,100.0,percent_util,cpu_util_proxy
31.036,100.0,percent_util,cpu_util_proxy
31.536,98.0,percent_util,cpu_util_proxy
32.037,100.0,percent_util,cpu_util_proxy
32.537,100.0,percent_util,cpu_util_proxy
33.037,100.0,percent_util,cpu_util_proxy
33.537,99.0,percent_util,cpu_util_proxy
34.038,50.0,percent_util,cpu_util_proxy
34.538,54.5,percent_util,cpu_util_proxy
35.038,50.0,percent_util,cpu_util_proxy
35.539,55.0,percent_util,cpu_util_proxy
36.039,50.0,percent_util,cpu_util_proxy
36.54,57.0,percent_util,cpu_util_proxy
37.04,50.0,percent_util,cpu_util_proxy
37.54,54.5,percent_util,cpu_util_proxy
38.041,50.0,percent_util,cpu_util_proxy
38.541,54.0,percent_util,cpu_util_proxy
39.042,50.0,percent_util,cpu_util_proxy
39.542,54.5,percent_util,cpu_util_proxy
40.042,50.0,percent_util,cpu_util_proxy
40.543,54.5,percent_util,cpu_util_proxy
41.043,50.0,percent_util,cpu_util_proxy
41.543,56.0,percent_util,cpu_util_proxy
42.044,50.0,percent_util,cpu_util_proxy
42.544,54.0,percent_util,cpu_util_proxy
43.045,50.0,percent_util,cpu_util_proxy
43.545,54.0,percent_util,cpu_util_proxy
44.046,100.0,percent_util,cpu_util_proxy
44.547,100.0,percent_util,cpu_util_proxy
45.047,100.0,percent_util,cpu_util_proxy
45.547,99.0,percent_util,cpu_util_proxy
46.048,100.0,percent_util,cpu_util_proxy
46.548,99.0,percent_util,cpu_util_proxy
47.049,100.0,percent_util,cpu_util_proxy
47.55,99.0,percent_util,cpu_util_proxy
48.05,50.0,percent_util,cpu_util_proxy
48.55,51.5,percent_util,cpu_util_proxy
49.051,50.0,percent_util,cpu_util_proxy
49.551,51.0,percent_util,cpu_util_proxy
50.051,50.0,percent_util,cpu_util_proxy
50.552,50.0,percent_util,cpu_util_proxy
51.053,50.0,percent_util,cpu_util_proxy
51.553,51.5,percent_util,cpu_util_proxy
52.053,66.7,percent_util,cpu_util_proxy
52.554,55.6,percent_util,cpu_util_proxy
53.054,100.0,percent_util,cpu_util_proxy
