t_s,value,unit,source
0.0,37.636,watts,nvml_measured
0.5,39.351,watts,nvml_measured
1.0,45.084,watts,nvml_measured
1.501,47.059,watts,nvml_measured
2.001,47.518,watts,nvml_measured
2.501,47.468,watts,nvml_measured
3.001,47.435,watts,nvml_measured
3.501,47.444,watts,nvml_measured
4.002,47.342,watts,nvml_measured
4.502,47.212,watts,nvml_measured
5.002,47.149,watts,nvml_measured
5.502,47.212,watts,nvml_measured
6.002,47.25,watts,nvml_measured
6.503,47.435,watts,nvml_measured
7.003,47.613,watts,nvml_measured
7.503,47.531,watts,nvml_measured
8.003,47.785,watts,nvml_measured
8.503,47.546,watts,nvml_measured
9.004,47.648,watts,nvml_measured
9.504,47.684,watts,nvml_measured
10.004,47.662,watts,nvml_measured
10.504,47.772,watts,nvml_measured
11.004,47.565,watts,nvml_measured
11.504,47.487,watts,nvml_measured
12.005,47.428,watts,nvml_measured
12.505,47.434,watts,nvml_measured
13.005,47.623,watts,nvml_measured
13.505,48.039,watts,nvml_measured
14.005,47.691,watts,nvml_measured
14.505,47.431,watts,nvml_measured
15.006,47.571,watts,nvml_measured
15.506,47.714,watts,nvml_measured
16.006,47.769,watts,nvml_measured
16.506,47.926,watts,nvml_measured
17.006,47.707,watts,nvml_measured
17.507,47.86,watts,nvml_measured
18.007,47.981,watts,nvml_measured
18.507,48.115,watts,nvml_measured
19.007,48.197,watts,nvml_measured
19.507,48.086,watts,nvml_measured
20.008,47.905,watts,nvml_measured
20.508,47.802,watts,nvml_measured
21.008,47.68,watts,nvml_measured
21.508,47.617,watts,nvml_measured
22.008,47.894,watts,nvml_measured
22.508,48.123,watts,nvml_measured
23.009,48.043,watts,nvml_measured
23.509,47.858,watts,nvml_measured
24.009,48.002,watts,nvml_measured
24.509,48.193,watts,nvml_measured
25.009,48.43,watts,nvml_measured
25.509,48.356,watts,nvml_measured
26.01,47.842,watts,nvml_measured
26.51,47.275,watts,nvml_measured
27.01,47.432,watts,nvml_measured
27.51,47.618,watts,nvml_measured
28.01,47.677,watts,nvml_measured
28.51,47.729,watts,nvml_measured
29.011,47.204,watts,nvml_measured
29.511,47.385,watts,nvml_measured
30.011,47.721,watts,nvml_measured
30.511,47.586,watts,nvml_measured
31.011,47.608,watts,nvml_measured
31.512,47.481,watts,nvml_measured
32.012,47.65,watts,nvml_measured
32.512,47.684,watts,nvml_measured
33.012,47.272,watts,nvml_measured
33.512,47.376,watts,nvml_measured
34.012,47.344,watts,nvml_measured
34.513,47.412,watts,nvml_measured
35.013,47.259,watts,nvml_measured
35.513,47.08,watts,nvml_measured
36.013,47.265,watts,nvml_measured
36.513,47.201,watts,nvml_measured
37.013,47.175,watts,nvml_measured
37.514,46.904,watts,nvml_measured
38.014,46.65,watts,nvml_measured
38.514,46.686,watts,nvml_measured
39.015,46.783,watts,nvml_measured
39.515,47.195,watts,nvml_measured
40.015,47.143,watts,nvml_measured
40.515,47.25,watts,nvml_measured
41.015,47.313,watts,nvml_measured
41.515,47.259,watts,nvml_measured
42.016,47.208,watts,nvml_measured
42.516,46.805,watts,nvml_measured
43.016,46.397,watts,nvml_measured
43.516,46.722,watts,nvml_measured
44.016,46.938,watts,nvml_measured
44.516,47.486,watts,nvml_measured
45.016,47.056,watts,nvml_measured
45.517,46.855,watts,nvml_measured
