t_s,value,unit,source
0.0,39.97,watts,nvml_measured
0.503,35.561,watts,nvml_measured
1.003,29.855,watts,nvml_measured
1.503,32.584,watts,nvml_measured
2.003,51.196,watts,nvml_measured
2.503,69.01,watts,nvml_measured
3.003,68.36,watts,nvml_measured
3.504,69.203,watts,nvml_measured
4.004,69.639,watts,nvml_measured
4.504,66.579,watts,nvml_measured
5.004,65.826,watts,nvml_measured
5.505,68.697,watts,nvml_measured
6.005,71.326,watts,nvml_measured
6.505,69.888,watts,nvml_measured
7.005,65.741,watts,nvml_measured
7.506,67.522,watts,nvml_measured
8.006,69.032,watts,nvml_measured
8.506,67.014,watts,nvml_measured
9.006,68.939,watts,nvml_measured
9.507,70.257,watts,nvml_measured
10.007,65.364,watts,nvml_measured
10.507,64.886,watts,nvml_measured
11.007,65.083,watts,nvml_measured
11.507,67.054,watts,nvml_measured
12.007,67.849,watts,nvml_measured
12.508,68.983,watts,nvml_measured
13.008,70.705,watts,nvml_measured
13.508,67.293,watts,nvml_measured
14.008,71.29,watts,nvml_measured
14.508,68.028,watts,nvml_measured
15.009,71.076,watts,nvml_measured
15.509,67.005,watts,nvml_measured
16.009,68.336,watts,nvml_measured
16.509,70.275,watts,nvml_measured
17.009,63.691,watts,nvml_measured
17.51,69.621,watts,nvml_measured
18.01,69.289,watts,nvml_measured
18.51,62.453,watts,nvml_measured
19.01,63.979,watts,nvml_measured
19.51,69.426,watts,nvml_measured
20.01,68.509,watts,nvml_measured
20.511,62.351,watts,nvml_measured
21.011,62.315,watts,nvml_measured
21.511,64.976,watts,nvml_measured
22.011,69.279,watts,nvml_measured
22.511,65.934,watts,nvml_measured
23.012,63.14,watts,nvml_measured
23.512,66.102,watts,nvml_measured
24.012,66.215,watts,nvml_measured
24.512,65.893,watts,nvml_measured
25.012,70.576,watts,nvml_measured
25.513,73.406,watts,nvml_measured
26.013,69.446,watts,nvml_measured
26.513,73.567,watts,nvml_measured
27.013,71.738,watts,nvml_measured
27.513,67.557,watts,nvml_measured
28.014,70.594,watts,nvml_measured
28.514,69.207,watts,nvml_measured
29.014,70.624,watts,nvml_measured
29.514,70.25,watts,nvml_measured
30.014,69.371,watts,nvml_measured
30.514,72.526,watts,nvml_measured
31.015,69.157,watts,nvml_measured
31.515,69.014,watts,nvml_measured
32.015,68.226,watts,nvml_measured
32.515,63.845,watts,nvml_measured
33.015,69.116,watts,nvml_measured
33.516,70.151,watts,nvml_measured
34.016,72.047,watts,nvml_measured
34.516,67.103,watts,nvml_measured
35.016,66.414,watts,nvml_measured
35.516,65.94,watts,nvml_measured
36.016,68.541,watts,nvml_measured
36.517,65.726,watts,nvml_measured
37.017,66.704,watts,nvml_measured
37.517,70.262,watts,nvml_measured
38.017,66.196,watts,nvml_measured
38.517,67.284,watts,nvml_measured
39.018,71.213,watts,nvml_measured
39.518,72.691,watts,nvml_measured
40.018,66.245,watts,nvml_measured
40.518,69.632,watts,nvml_measured
41.018,71.872,watts,nvml_measured
41.519,68.124,watts,nvml_measured
42.019,67.0,watts,nvml_measured
42.519,67.952,watts,nvml_measured
43.019,71.58,watts,nvml_measured
43.519,72.857,watts,nvml_measured
44.019,64.837,watts,nvml_measured
44.52,68.642,watts,nvml_measured
45.02,68.496,watts,nvml_measured
45.52,70.326,watts,nvml_measured
46.02,70.668,watts,nvml_measured
