t_s,value,unit,source
0.0,45.159,watts,nvml_measured
0.5,44.421,watts,nvml_measured
1.0,46.923,watts,nvml_measured
1.501,48.29,watts,nvml_measured
2.001,48.186,watts,nvml_measured
2.501,48.283,watts,nvml_measured
3.001,48.394,watts,nvml_measured
3.501,48.389,watts,nvml_measured
4.001,48.531,watts,nvml_measured
4.502,48.418,watts,nvml_measured
5.002,48.36,watts,nvml_measured
5.502,48.779,watts,nvml_measured
6.002,48.602,watts,nvml_measured
6.502,48.324,watts,nvml_measured
7.002,48.305,watts,nvml_measured
7.503,48.125,watts,nvml_measured
8.003,48.206,watts,nvml_measured
8.503,48.109,watts,nvml_measured
9.003,47.81,watts,nvml_measured
9.503,47.659,watts,nvml_measured
10.003,47.927,watts,nvml_measured
10.504,47.812,watts,nvml_measured
11.004,47.59,watts,nvml_measured
11.504,47.241,watts,nvml_measured
12.004,47.268,watts,nvml_measured
12.504,47.498,watts,nvml_measured
13.005,47.589,watts,nvml_measured
13.505,47.359,watts,nvml_measured
14.005,47.242,watts,nvml_measured
14.505,47.699,watts,nvml_measured
15.005,47.713,watts,nvml_measured
15.505,47.699,watts,nvml_measured
16.006,47.585,watts,nvml_measured
16.506,47.686,watts,nvml_measured
17.006,47.569,watts,nvml_measured
17.506,47.76,watts,nvml_measured
18.007,47.413,watts,nvml_measured
18.507,47.298,watts,nvml_measured
19.007,47.704,watts,nvml_measured
19.507,47.74,watts,nvml_measured
20.007,47.53,watts,nvml_measured
20.507,47.595,watts,nvml_measured
21.008,47.345,watts,nvml_measured
21.508,47.109,watts,nvml_measured
22.008,47.082,watts,nvml_measured
22.508,47.052,watts,nvml_measured
23.008,47.178,watts,nvml_measured
23.509,47.402,watts,nvml_measured
24.009,47.461,watts,nvml_measured
24.509,47.646,watts,nvml_measured
25.009,47.641,watts,nvml_measured
25.509,47.677,watts,nvml_measured
26.01,48.045,watts,nvml_measured
26.51,48.052,watts,nvml_measured
27.01,47.423,watts,nvml_measured
27.51,47.44,watts,nvml_measured
28.01,47.372,watts,nvml_measured
28.511,47.221,watts,nvml_measured
29.011,47.144,watts,nvml_measured
29.511,47.179,watts,nvml_measured
30.011,47.088,watts,nvml_measured
30.511,47.219,watts,nvml_measured
31.012,47.462,watts,nvml_measured
31.512,46.966,watts,nvml_measured
32.012,46.684,watts,nvml_measured
32.512,46.982,watts,nvml_measured
33.012,47.011,watts,nvml_measured
33.512,47.07,watts,nvml_measured
34.013,47.18,watts,nvml_measured
34.513,46.919,watts,nvml_measured
35.013,47.148,watts,nvml_measured
35.513,47.743,watts,nvml_measured
36.013,47.741,watts,nvml_measured
36.514,47.722,watts,nvml_measured
37.014,47.983,watts,nvml_measured
37.514,47.554,watts,nvml_measured
38.014,47.09,watts,nvml_measured
38.514,46.851,watts,nvml_measured
39.014,47.432,watts,nvml_measured
39.515,47.851,watts,nvml_measured
40.015,47.994,watts,nvml_measured
40.515,47.554,watts,nvml_measured
41.015,47.27,watts,nvml_measured
41.515,47.671,watts,nvml_measured
42.015,47.574,watts,nvml_measured
42.516,47.25,watts,nvml_measured
43.016,47.396,watts,nvml_measured
43.516,47.482,watts,nvml_measured
44.016,47.2,watts,nvml_measured
44.516,47.124,watts,nvml_measured
45.017,47.162,watts,nvml_measured
45.517,47.124,watts,nvml_measured
46.017,47.331,watts,nvml_measured
