run_id,timestamp,device_type,task,repeat_idx,dataset,model,duration_s,units_processed,energy_kWh_codecarbon,energy_per_unit_kWh,avg_gpu_watts,cost_estimate,notes
cpu_chatbot_r1_1787153241,2026-08-19T15:28:06.597559,cpu,chatbot,1,SQuAD v1.1 (validation split),"GPT-2 (124M, Hugging Face transformers)",45.122,13.0,5.629414890978533e-05,4.330319146906564e-06,,0.00045,CPU watts not directly measurable in Colab (RAPL blocked); energy_kWh_codecarbon is CodeCarbon's constant-mode estimate.
cpu_chatbot_r2_1787153286,2026-08-19T15:28:54.175782,cpu,chatbot,2,SQuAD v1.1 (validation split),"GPT-2 (124M, Hugging Face transformers)",47.135,14.0,6.336970100424403e-05,4.52640721458886e-06,,0.000507,CPU watts not directly measurable in Colab (RAPL blocked); energy_kWh_codecarbon is CodeCarbon's constant-mode estimate.
cpu_chatbot_r3_1787153334,2026-08-19T15:29:39.735331,cpu,chatbot,3,SQuAD v1.1 (validation split),"GPT-2 (124M, Hugging Face transformers)",45.103,14.0,5.771220035166506e-05,4.122300025118933e-06,,0.000462,CPU watts not directly measurable in Colab (RAPL blocked); energy_kWh_codecarbon is CodeCarbon's constant-mode estimate.
cpu_chatbot_r4_1787153379,2026-08-19T15:30:27.824721,cpu,chatbot,4,SQuAD v1.1 (validation split),"GPT-2 (124M, Hugging Face transformers)",47.597,13.0,6.355452478662213e-05,4.888809598970933e-06,,0.000508,CPU watts not directly measurable in Colab (RAPL blocked); energy_kWh_codecarbon is CodeCarbon's constant-mode estimate.
cpu_chatbot_r5_1787153427,2026-08-19T15:31:16.896396,cpu,chatbot,5,SQuAD v1.1 (validation split),"GPT-2 (124M, Hugging Face transformers)",48.651,14.0,6.663742796388909e-05,4.759816283134935e-06,,0.000533,CPU watts not directly measurable in Colab (RAPL blocked); energy_kWh_codecarbon is CodeCarbon's constant-mode estimate.
cpu_chatbot_r6_1787153476,2026-08-19T15:32:02.459698,cpu,chatbot,6,SQuAD v1.1 (validation split),"GPT-2 (124M, Hugging Face transformers)",45.014,13.0,5.787226297577166e-05,4.4517125365978204e-06,,0.000463,CPU watts not directly measurable in Colab (RAPL blocked); energy_kWh_codecarbon is CodeCarbon's constant-mode estimate.
cpu_chatbot_r7_1787153522,2026-08-19T15:32:51.299083,cpu,chatbot,7,SQuAD v1.1 (validation split),"GPT-2 (124M, Hugging Face transformers)",48.238,14.0,6.022203300285694e-05,4.301573785918353e-06,,0.000482,CPU watts not directly measurable in Colab (RAPL blocked); energy_kWh_codecarbon is CodeCarbon's constant-mode estimate.
cpu_chatbot_r8_1787153571,2026-08-19T15:33:37.157807,cpu,chatbot,8,SQuAD v1.1 (validation split),"GPT-2 (124M, Hugging Face transformers)",45.424,13.0,6.083246425234811e-05,4.679420327103701e-06,,0.000487,CPU watts not directly measurable in Colab (RAPL blocked); energy_kWh_codecarbon is CodeCarbon's constant-mode estimate.
cpu_image_processing_r1_1787152451,2026-08-19T15:14:59.178800,cpu,image_processing,1,CIFAR-10 (test split),"ResNet-50 (ImageNet-pretrained, torchvision)",45.974,176.0,6.700404383831903e-05,3.8070479453590365e-07,,0.000536,CPU watts not directly measurable in Colab (RAPL blocked); energy_kWh_codecarbon is CodeCarbon's constant-mode estimate.
cpu_image_processing_r2_1787152499,2026-08-19T15:15:45.043552,cpu,image_processing,2,CIFAR-10 (test split),"ResNet-50 (ImageNet-pretrained, torchvision)",45.138,208.0,5.745934695944787e-05,2.762468603819609e-07,,0.00046,CPU watts not directly measurable in Colab (RAPL blocked); energy_kWh_codecarbon is CodeCarbon's constant-mode estimate.
