run_id,timestamp,device_type,task,repeat_idx,duration_s,units_processed,energy_kWh_codecarbon,energy_per_unit_kWh,avg_gpu_watts,cost_estimate,notes
gpu_image_processing_r1_1786815452,2026-08-15T17:38:04.158162,gpu,image_processing,1,30.017,21104,0.00037932592067756437,1.7974124368724618e-08,69.16309375,0.003035,
gpu_image_processing_r2_1786815484,2026-08-15T17:38:34.679396,gpu,image_processing,2,30.017,21680,0.00037933874931140454,1.7497174783736372e-08,71.4594262295082,0.003035,
gpu_image_processing_r3_1786815514,2026-08-15T17:39:05.199740,gpu,image_processing,3,30.019,21760,0.0003793727179422618,1.743440799367012e-08,71.62660655737704,0.003035,
gpu_image_processing_r4_1786815545,2026-08-15T17:39:35.722877,gpu,image_processing,4,30.014,21696,0.0003787536690741128,1.7457304068681454e-08,72.05216393442623,0.00303,
gpu_image_processing_r5_1786815575,2026-08-15T17:40:06.243776,gpu,image_processing,5,30.005,21792,0.000378583334372164,1.7372583258634544e-08,71.77952459016394,0.003029,
gpu_text_generation_r1_1786815606,2026-08-15T17:40:37.267941,gpu,text_generation,1,30.454,3150,0.0002853804732319339,9.059697562918537e-08,46.96954838709677,0.002283,
gpu_text_generation_r2_1786815637,2026-08-15T17:41:09.289948,gpu,text_generation,2,31.271,3450,0.0002948198832773539,8.545503863111707e-08,47.077265625,0.002359,
gpu_text_generation_r3_1786815669,2026-08-15T17:41:39.812548,gpu,text_generation,3,30.189,3000,0.00028338511269389185,9.446170423129729e-08,46.85509836065574,0.002267,
gpu_text_generation_r4_1786815699,2026-08-15T17:42:11.334987,gpu,text_generation,4,31.189,3450,0.0002882630653010271,8.355451168145713e-08,45.81252380952381,0.002306,
gpu_text_generation_r5_1786815731,2026-08-15T17:42:42.858843,gpu,text_generation,5,30.898,3300,0.00028620421628735725,8.672855039010825e-08,45.97042857142858,0.00229,
gpu_chatbot_r1_1786815762,2026-08-15T17:43:13.882777,gpu,chatbot,1,30.565,49,0.00027955044840817603,5.705111192003593e-06,44.89883870967742,0.002236,
gpu_chatbot_r2_1786815793,2026-08-15T17:43:44.912078,gpu,chatbot,2,30.248,49,0.0002752327394902087,5.6169946834736465e-06,44.64774193548387,0.002202,
gpu_chatbot_r3_1786815824,2026-08-15T17:44:15.935509,gpu,chatbot,3,30.254,48,0.00027421392376364195,5.712790078409207e-06,44.41753225806452,0.002194,
gpu_chatbot_r4_1786815855,2026-08-15T17:44:46.457540,gpu,chatbot,4,30.142,48,0.0002732784353912766,5.693300737318262e-06,44.28368852459016,0.002186,
gpu_chatbot_r5_1786815886,2026-08-15T17:45:16.978955,gpu,chatbot,5,30.057,48,0.00027138679929820535,5.653891652045945e-06,44.14688524590164,0.002171,
cpu_image_processing_r1_1786816327,2026-08-15T17:52:39.765794,cpu,image_processing,1,31.027,400,5.899956961061629e-05,1.4749892402654072e-07,,0.000472,"CPU watts not directly measurable in Colab (RAPL blocked). energy_kWh_codecarbon is CodeCarbon's TDP-based estimate; raw log stores CPU utilization %, not watts."
cpu_image_processing_r2_1786816360,2026-08-15T17:53:10.751003,cpu,image_processing,2,30.214,400,5.230637420059585e-05,1.307659355014896e-07,,0.000418,"CPU watts not directly measurable in Colab (RAPL blocked). energy_kWh_codecarbon is CodeCarbon's TDP-based estimate; raw log stores CPU utilization %, not watts."
cpu_image_processing_r3_1786816390,2026-08-15T17:53:41.301499,cpu,image_processing,3,30.262,400,5.519941200447361e-05,1.3799853001118404e-07,,0.000442,"CPU watts not directly measurable in Colab (RAPL blocked). energy_kWh_codecarbon is CodeCarbon's TDP-based estimate; raw log stores CPU utilization %, not watts."
cpu_image_processing_r4_1786816421,2026-08-15T17:54:12.348328,cpu,image_processing,4,30.748,400,5.310350049688057e-05,1.3275875124220142e-07,,0.000425,"CPU watts not directly measurable in Colab (RAPL blocked). energy_kWh_codecarbon is CodeCarbon's TDP-based estimate; raw log stores CPU utilization %, not watts."
cpu_image_processing_r5_1786816452,2026-08-15T17:54:43.395417,cpu,image_processing,5,30.804,416,5.353337204683727e-05,1.28685990497205e-07,,0.000428,"CPU watts not directly measurable in Colab (RAPL blocked). energy_kWh_codecarbon is CodeCarbon's TDP-based estimate; raw log stores CPU utilization %, not watts."
cpu_text_generation_r1_1786816483,2026-08-15T17:55:14.445606,cpu,text_generation,1,30.876,900,5.261017559692418e-05,5.845575066324909e-08,,0.000421,"CPU watts not directly measurable in Colab (RAPL blocked). energy_kWh_codecarbon is CodeCarbon's TDP-based estimate; raw log stores CPU utilization %, not watts."
cpu_text_generation_r2_1786816514,2026-08-15T17:55:48.997873,cpu,text_generation,2,34.056,1050,6.112611175644269e-05,5.821534452994542e-08,,0.000489,"CPU watts not directly measurable in Colab (RAPL blocked). energy_kWh_codecarbon is CodeCarbon's TDP-based estimate; raw log stores CPU utilization %, not watts."
cpu_text_generation_r3_1786816549,2026-08-15T17:56:23.040889,cpu,text_generation,3,33.928,1050,5.795594558408339e-05,5.519613865150799e-08,,0.000464,"CPU watts not directly measurable in Colab (RAPL blocked). energy_kWh_codecarbon is CodeCarbon's TDP-based estimate; raw log stores CPU utilization %, not watts."
cpu_text_generation_r4_1786816583,2026-08-15T17:56:56.087639,cpu,text_generation,4,32.895,1050,5.5868228514337445e-05,5.3207836680321375e-08,,0.000447,"CPU watts not directly measurable in Colab (RAPL blocked). energy_kWh_codecarbon is CodeCarbon's TDP-based estimate; raw log stores CPU utilization %, not watts."
